input,elevation
"18.180555, -66.749961",595
"18.361945, -67.175597",56
"18.455183, -67.119887",144
"18.158345, -66.932911",649
"18.295366, -67.125135",84
"18.402253, -66.711397",205
"18.420412, -66.671979",84
"18.445147, -66.559696",50
"17.991245, -67.153993",39
"18.083361, -67.153897",32
"18.064919, -66.716683",118
"18.412600, -66.863926",202
"18.190607, -66.832041",505
"18.076713, -66.947389",122
"18.295913, -66.515588",307
"18.263085, -66.712985",194
"18.433150, -66.285875",82
"17.963613, -66.947127",103
"18.349416, -66.578079",268
"18.448452, -66.594127",67
"17.985033, -66.886536",95
"18.053539, -66.792931",115
"18.407226, -66.808999",214
"18.134695, -67.116199",25
"18.468320, -67.015781",99
"18.210330, -66.591616",592
"18.003422, -67.035810",17
"18.277102, -66.869645",390
"18.240187, -66.988776",288
"18.422908, -66.489337",60
"18.377637, -67.079574",94
"18.332568, -67.227022",95
"18.434099, -66.927384",194
"18.182055, -67.132502",48
"18.221464, -67.156039",44
"18.107800, -67.037263",92
"18.332929, -66.959689",169
"18.319026, -66.420557",238
"18.382264, -66.626438",205
"18.495510, -67.098671",71
"18.410188, -66.336556",21
"18.423000, -66.397232",61
"18.482370, -66.391079",3
"18.064848, -66.856319",117
"18.248401, -66.130662",349
"17.965770, -66.219555",3
"18.128961, -66.266683",650
"18.014055, -65.920751",31
"18.003025, -66.046237",79
"18.011233, -66.560065",15
"17.992040, -66.605856",10
"18.003222, -66.614037",20
"18.231988, -65.759623",48
"18.289927, -66.253440",386
"18.217946, -66.428076",836
"18.043498, -66.015479",358
"18.218819, -66.042375",85
"18.215308, -66.073565",126
"17.989853, -66.664116",57
"18.323585, -65.883206",264
"18.030831, -66.616838",55
"18.109947, -66.635622",468
"18.252604, -65.682494",84
"18.103624, -66.151667",574
"18.304458, -65.698711",172
"18.177233, -66.160645",430
"18.331178, -65.634104",13
"18.163855, -65.754042",9
"18.352216, -65.817387",97
"18.001317, -66.252183",38
"18.147107, -65.976167",189
"17.995441, -66.391334",28
"18.130096, -65.439369",103
"18.133196, -66.476916",185
"18.069489, -65.896161",50
"18.103800, -66.357586",181
"18.187148, -65.871189",120
"18.438969, -65.905174",2
"18.342888, -65.723109",94
"18.326599, -65.307720",129
"18.224133, -65.908542",70
"18.264076, -65.978510",44
"18.102834, -66.568105",213
"18.225708, -66.221633",236
"18.303910, -66.326179",312
"18.010714, -66.133615",322
"18.155424, -66.229907",323
"18.136782, -65.821476",19
"18.198955, -66.309833",716
"18.060494, -66.500624",142
"18.350449, -64.973886",305
"18.340862, -64.923479",60
"17.743072, -64.686570",26
"17.723541, -64.745932",34
"17.744557, -64.682933",19
"18.338560, -64.736533",231
"18.327294, -64.786720",105
"17.747872, -64.880695",133
"17.768133, -64.807852",72
"17.709936, -64.750099",11
"17.732228, -64.770760",55
"18.465369, -66.104613",2
"18.464460, -66.094995",14
"18.452553, -66.077838",16
"18.441610, -66.067132",12
"18.451159, -66.056199",5
"18.445328, -66.060135",23
"18.450002, -66.042656",-1
"18.437179, -66.045571",16
"18.420674, -66.050105",10
"18.421022, -66.065789",9
"18.414292, -66.088042",16
"18.392282, -66.088555",34
"18.409307, -66.038888",11
"18.399192, -66.012453",23
"18.400296, -66.050602",28
"18.345400, -66.051545",96
"18.388011, -66.072089",27
"18.411313, -66.124234",19
"18.395463, -66.073772",31
"18.430696, -66.212833",1
"18.459699, -66.233101",-1
"18.427530, -66.253789",7
"18.427448, -66.182026",14
"18.360729, -66.251527",38
"18.321137, -66.170419",147
"18.368414, -66.187693",41
"18.391820, -66.154564",8
"18.416919, -66.145795",8
"18.413286, -66.164617",11
"18.444614, -66.148839",1
"18.433757, -66.114752",2
"18.401521, -66.117597",49
"18.406085, -66.101232",35
"18.368062, -66.108062",29
"18.318884, -66.119190",192
"18.336176, -65.994099",48
"18.444394, -66.030036",8
"18.411261, -65.992045",7
"18.417816, -65.975819",7
"18.410770, -65.947928",9
"18.338161, -65.941083",127
"42.062368, -72.625754",43
"42.364061, -72.458739",213
"42.389941, -72.524108",85
"42.418848, -72.106598",275
"42.279010, -72.400468",188
"42.190144, -72.954350",402
"42.211969, -72.341433",142
"42.128176, -72.205352",214
"42.300281, -72.968716",419
"42.375425, -72.858192",387
"42.154904, -72.602804",64
"42.172602, -72.562073",75
"42.197741, -72.542713",72
"42.465495, -72.918267",446
"42.295008, -72.751877",165
"42.062378, -72.498111",106
"42.193395, -73.044647",451
"42.072925, -72.686972",83
"42.329399, -72.198187",278
"42.457613, -72.814780",466
"42.244949, -72.500143",112
"42.098676, -72.961564",416
"42.356491, -72.568632",49
"42.062946, -72.417297",95
"42.372728, -72.195412",297
"42.385496, -72.606929",53
"42.404278, -72.688922",203
"42.211656, -72.642448",156
"42.286762, -72.869695",182
"42.356301, -72.713584",141
"42.468898, -72.484579",284
"42.183577, -72.457812",79
"42.093596, -72.321494",215
"42.321488, -72.630588",44
"42.328308, -72.703924",175
"42.318882, -72.638530",69
"42.406903, -72.655018",144
"42.350862, -72.044248",313
"42.187794, -72.308469",148
"42.518446, -72.919017",515
"42.160060, -72.873853",319
"42.456968, -72.417244",350
"42.226949, -72.741588",151
"42.387603, -72.093230",191
"42.256208, -72.581030",71
"42.052570, -72.777353",107
"42.197913, -72.329709",161
"42.185727, -72.361558",98
"42.061313, -72.234411",341
"42.293533, -72.278599",228
"42.203642, -72.194599",186
"42.392370, -72.882235",245
"42.153503, -72.771602",92
"42.130446, -72.793967",83
"42.391709, -72.646494",66
"42.125451, -72.649734",77
"42.191868, -72.235108",223
"42.441943, -72.661817",227
"42.359108, -72.136800",183
"42.138499, -72.420715",164
"42.397140, -72.763572",375
"42.178038, -72.832612",86
"42.394315, -72.943115",463
"42.104106, -72.592027",27
"42.134009, -72.565378",70
"42.099958, -72.580765",36
"42.047565, -72.571130",56
"42.121060, -72.607068",30
"42.080692, -72.560791",56
"42.119674, -72.549726",65
"42.094194, -72.525081",66
"42.124978, -72.511210",71
"42.092296, -72.489135",106
"42.118690, -72.488200",77
"42.151860, -72.509131",69
"42.120563, -72.604468",26
"42.448236, -73.273727",336
"42.623799, -73.116736",244
"42.058703, -73.322175",217
"42.312225, -73.110124",583
"42.513163, -73.195743",310
"42.563401, -73.153335",290
"42.481119, -73.135073",375
"42.276338, -73.335896",303
"42.173192, -73.324283",474
"42.425676, -73.063012",551
"42.266496, -73.378393",243
"42.547818, -73.268033",703
"42.297501, -73.230148",308
"42.367858, -73.269763",360
"42.333734, -73.249199",303
"42.350122, -73.024112",479
"42.118094, -73.257497",367
"42.186893, -73.223105",420
"42.698526, -73.084300",382
"42.206683, -73.113214",445
"42.382019, -73.365492",317
"42.107496, -73.118607",415
"42.594166, -73.022320",655
"42.085244, -73.367483",216
"42.109280, -73.462886",521
"42.075469, -73.234376",393
"42.295696, -73.342543",283
"42.292202, -73.319209",272
"42.231590, -73.202428",295
"42.312354, -73.388044",499
"42.671617, -73.246981",308
"42.515272, -73.031166",640
"42.626761, -72.601530",94
"42.513947, -72.821517",492
"42.562408, -72.191080",361
"42.689307, -72.582249",282
"42.572604, -72.824306",468
"42.603776, -72.889644",316
"42.694731, -72.710956",383
"42.496937, -72.709414",292
"42.543889, -72.609458",37
"42.657625, -72.978933",356
"42.613418, -72.426427",317
"42.693275, -72.823113",493
"42.559294, -72.518753",108
"42.563061, -72.482122",322
"42.727772, -72.985346",644
"42.539880, -72.521689",96
"42.624076, -72.508643",215
"42.458551, -72.327191",289
"42.677091, -72.453876",90
"42.605437, -72.292074",232
"42.475621, -72.192468",304
"42.695532, -72.909148",452
"42.679456, -72.176935",307
"42.593338, -72.726941",157
"42.475481, -72.615403",65
"42.466691, -72.546751",243
"42.595280, -72.555002",103
"42.673533, -72.353213",290
"42.556310, -72.407148",324
"42.584925, -71.816862",149
"42.657005, -71.923442",345
"42.676293, -71.832523",301
"42.566573, -71.575135",110
"42.538903, -71.612027",96
"42.602059, -72.087015",260
"42.562243, -72.031402",315
"42.584206, -71.988737",346
"42.611760, -71.565269",98
